video1,video2,clip_similarity,video_similarity
v_ApplyEyeMakeup_g01_c01.avi,v_ApplyEyeMakeup_g01_c05.avi,0.92582,0.55988
v_ApplyEyeMakeup_g01_c03.avi,v_ApplyEyeMakeup_g03_c04.avi,0.90133,0.58867
v_ApplyEyeMakeup_g01_c03.avi,v_ApplyEyeMakeup_g06_c01.avi,0.90079,0.55083
v_ApplyEyeMakeup_g01_c05.avi,v_ApplyEyeMakeup_g01_c06.avi,0.95121,0.57594
v_ApplyEyeMakeup_g06_c01.avi,v_ApplyEyeMakeup_g06_c07.avi,0.91829,0.56533
v_ApplyEyeMakeup_g06_c02.avi,v_ApplyEyeMakeup_g06_c07.avi,0.90858,0.57699
v_ApplyEyeMakeup_g06_c03.avi,v_ApplyEyeMakeup_g06_c04.avi,0.91165,0.50233
v_ApplyEyeMakeup_g06_c04.avi,v_ApplyEyeMakeup_g06_c06.avi,0.93465,0.55700
v_ApplyEyeMakeup_g06_c04.avi,v_ApplyEyeMakeup_g06_c07.avi,0.90918,0.49493
v_ApplyEyeMakeup_g06_c05.avi,v_ApplyEyeMakeup_g06_c07.avi,0.90051,0.57019
v_ApplyLipstick_g03_c01.avi,v_ApplyLipstick_g03_c03.avi,0.92426,0.59743
v_Archery_g01_c01.avi,v_Archery_g01_c02.avi,0.94435,0.51842
v_Archery_g01_c01.avi,v_Archery_g01_c04.avi,0.93762,0.58669
v_Archery_g01_c01.avi,v_Archery_g01_c05.avi,0.90670,0.41171
v_Archery_g01_c01.avi,v_Archery_g01_c06.avi,0.91250,0.42572
v_Archery_g01_c02.avi,v_Archery_g01_c05.avi,0.91668,0.45688
v_Archery_g01_c02.avi,v_Archery_g01_c06.avi,0.93633,0.50667
v_Archery_g01_c02.avi,v_Archery_g01_c07.avi,0.93608,0.54555
v_Archery_g01_c03.avi,v_Archery_g01_c05.avi,0.91504,0.46206
v_Archery_g01_c03.avi,v_Archery_g01_c06.avi,0.93087,0.46078
v_Archery_g01_c04.avi,v_Archery_g01_c05.avi,0.91336,0.46808
v_Archery_g01_c04.avi,v_Archery_g01_c06.avi,0.92524,0.48064
v_Archery_g01_c05.avi,v_Archery_g01_c07.avi,0.90926,0.37614
v_Archery_g01_c06.avi,v_Archery_g01_c07.avi,0.91083,0.39181
v_Archery_g03_c01.avi,v_Archery_g03_c02.avi,0.93380,0.53241
v_Archery_g03_c03.avi,v_Archery_g03_c04.avi,0.93113,0.57019
v_Archery_g03_c03.avi,v_Archery_g03_c05.avi,0.94289,0.48705
v_Archery_g03_c04.avi,v_Archery_g03_c05.avi,0.92978,0.58824
v_Archery_g06_c03.avi,v_Archery_g06_c04.avi,0.92140,0.58153
v_Archery_g06_c03.avi,v_Archery_g06_c05.avi,0.92738,0.51355
v_BabyCrawling_g01_c01.avi,v_BabyCrawling_g01_c03.avi,0.95220,0.53687
v_BabyCrawling_g01_c01.avi,v_BabyCrawling_g01_c04.avi,0.92442,0.49924
v_BabyCrawling_g01_c01.avi,v_BabyCrawling_g04_c02.avi,0.90175,0.49573
v_BabyCrawling_g01_c02.avi,v_BabyCrawling_g01_c04.avi,0.94912,0.58637
v_BabyCrawling_g02_c01.avi,v_BabyCrawling_g02_c03.avi,0.92539,0.53208
v_BabyCrawling_g02_c01.avi,v_BabyCrawling_g02_c05.avi,0.93292,0.44712
v_BabyCrawling_g02_c01.avi,v_BabyCrawling_g02_c06.avi,0.90968,0.45876
v_BabyCrawling_g03_c01.avi,v_BabyCrawling_g03_c04.avi,0.93484,0.42691
v_BabyCrawling_g03_c02.avi,v_BabyCrawling_g03_c04.avi,0.94366,0.52133
v_BabyCrawling_g04_c01.avi,v_BabyCrawling_g04_c02.avi,0.90960,0.51344
v_BabyCrawling_g04_c01.avi,v_BabyCrawling_g04_c03.avi,0.90438,0.56007
v_BabyCrawling_g05_c01.avi,v_BabyCrawling_g05_c02.avi,0.96636,0.58191
v_BabyCrawling_g05_c01.avi,v_BabyCrawling_g05_c04.avi,0.95158,0.57137
v_BabyCrawling_g05_c01.avi,v_BabyCrawling_g05_c05.avi,0.93415,0.47413
v_BabyCrawling_g05_c03.avi,v_BabyCrawling_g07_c05.avi,0.90571,0.46071
v_BabyCrawling_g05_c04.avi,v_BabyCrawling_g05_c05.avi,0.91650,0.59500
v_BabyCrawling_g05_c05.avi,v_BabyCrawling_g07_c05.avi,0.91727,0.37576
v_BabyCrawling_g07_c01.avi,v_BabyCrawling_g07_c04.avi,0.93371,0.51869
v_BabyCrawling_g07_c01.avi,v_BabyCrawling_g07_c06.avi,0.95410,0.55977
v_BabyCrawling_g07_c03.avi,v_BabyCrawling_g07_c04.avi,0.94513,0.53465
v_BabyCrawling_g07_c04.avi,v_BabyCrawling_g07_c06.avi,0.95387,0.57042
v_BabyCrawling_g07_c05.avi,v_BabyCrawling_g07_c06.avi,0.90157,0.57157
v_BalanceBeam_g01_c01.avi,v_ParallelBars_g05_c03.avi,0.90006,0.37905
v_BalanceBeam_g01_c01.avi,v_ParallelBars_g05_c04.avi,0.90557,0.47152
v_BalanceBeam_g01_c02.avi,v_ParallelBars_g05_c03.avi,0.91350,0.30830
v_BalanceBeam_g01_c02.avi,v_ParallelBars_g05_c04.avi,0.91590,0.41090
v_BalanceBeam_g01_c03.avi,v_ParallelBars_g05_c03.avi,0.90176,0.35353
v_BalanceBeam_g01_c04.avi,v_BalanceBeam_g03_c04.avi,0.90702,0.58971
v_BalanceBeam_g01_c04.avi,v_FloorGymnastics_g03_c01.avi,0.90585,0.47637
v_BalanceBeam_g01_c04.avi,v_FloorGymnastics_g07_c01.avi,0.91172,0.47091
v_BalanceBeam_g01_c04.avi,v_FloorGymnastics_g07_c02.avi,0.90541,0.51300
v_BalanceBeam_g01_c04.avi,v_ParallelBars_g02_c02.avi,0.91066,0.49268
v_BalanceBeam_g01_c04.avi,v_StillRings_g05_c01.avi,0.90590,0.53451
v_BalanceBeam_g01_c04.avi,v_UnevenBars_g04_c02.avi,0.92205,0.54795
v_BalanceBeam_g01_c04.avi,v_UnevenBars_g04_c03.avi,0.94089,0.58241
v_BalanceBeam_g02_c01.avi,v_BalanceBeam_g03_c01.avi,0.91285,0.59948
v_BalanceBeam_g02_c01.avi,v_BalanceBeam_g04_c02.avi,0.91268,0.51492
v_BalanceBeam_g02_c01.avi,v_BalanceBeam_g04_c03.avi,0.92026,0.54876
v_BalanceBeam_g02_c01.avi,v_BalanceBeam_g04_c04.avi,0.91388,0.51140
v_BalanceBeam_g02_c01.avi,v_BalanceBeam_g05_c04.avi,0.92096,0.58081
v_BalanceBeam_g02_c01.avi,v_BalanceBeam_g07_c03.avi,0.91029,0.46359
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g01_c02.avi,0.91567,0.38084
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g01_c04.avi,0.91592,0.56287
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g01_c05.avi,0.90311,0.50026
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g02_c04.avi,0.91147,0.55396
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g03_c01.avi,0.92302,0.51527
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g03_c02.avi,0.93427,0.52639
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g03_c03.avi,0.93079,0.51862
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g03_c04.avi,0.92792,0.44542
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g04_c02.avi,0.90353,0.54411
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g04_c05.avi,0.90900,0.54398
v_BalanceBeam_g02_c01.avi,v_ParallelBars_g01_c01.avi,0.90110,0.47313
v_BalanceBeam_g02_c01.avi,v_ParallelBars_g03_c01.avi,0.90985,0.47512
v_BalanceBeam_g02_c01.avi,v_UnevenBars_g01_c02.avi,0.90929,0.56072
v_BalanceBeam_g02_c01.avi,v_UnevenBars_g02_c02.avi,0.90157,0.57709
v_BalanceBeam_g02_c01.avi,v_UnevenBars_g03_c03.avi,0.90255,0.58604
v_BalanceBeam_g02_c01.avi,v_UnevenBars_g04_c03.avi,0.90327,0.52710
v_BalanceBeam_g02_c01.avi,v_UnevenBars_g05_c03.avi,0.93719,0.58737
v_BalanceBeam_g02_c02.avi,v_BalanceBeam_g04_c02.avi,0.91517,0.49645
v_BalanceBeam_g02_c02.avi,v_BalanceBeam_g04_c03.avi,0.92187,0.55409
v_BalanceBeam_g02_c02.avi,v_BalanceBeam_g04_c04.avi,0.90642,0.53928
v_BalanceBeam_g02_c02.avi,v_BalanceBeam_g07_c01.avi,0.91640,0.59028
v_BalanceBeam_g02_c02.avi,v_FloorGymnastics_g02_c04.avi,0.90057,0.50652
v_BalanceBeam_g02_c02.avi,v_ParallelBars_g03_c02.avi,0.90262,0.41468
v_BalanceBeam_g02_c02.avi,v_ParallelBars_g03_c04.avi,0.90058,0.49851
v_BalanceBeam_g02_c02.avi,v_ParallelBars_g06_c07.avi,0.90017,0.46274
v_BalanceBeam_g02_c02.avi,v_ParallelBars_g07_c04.avi,0.90610,0.48293
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g01_c01.avi,0.90071,0.52403
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g01_c02.avi,0.91874,0.54518
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g01_c03.avi,0.93063,0.51403
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g02_c01.avi,0.91119,0.56676
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g02_c02.avi,0.91210,0.51848
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g02_c04.avi,0.94923,0.54773
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g03_c03.avi,0.93233,0.59708
v_BalanceBeam_g02_c02.avi,v_UnevenBars_g03_c04.avi,0.90713,0.56193
